  
       XFOIL         Version 6.99
  
 Calculated polar for: HQ 2.5/9.0 smoothed by Eppler                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1561   0.00686   0.00190  -0.0863   0.8604   0.4722
  -1.750   0.1824   0.00661   0.00188  -0.0860   0.8529   0.5617
  -1.500   0.2091   0.00650   0.00190  -0.0856   0.8462   0.6215
  -1.250   0.2359   0.00645   0.00192  -0.0851   0.8389   0.6654
  -1.000   0.2628   0.00644   0.00193  -0.0847   0.8318   0.6951
  -0.750   0.2898   0.00642   0.00192  -0.0843   0.8246   0.7171
  -0.500   0.3167   0.00641   0.00194  -0.0839   0.8185   0.7418
  -0.250   0.3432   0.00638   0.00197  -0.0834   0.8119   0.7646
   0.000   0.3705   0.00637   0.00196  -0.0831   0.8060   0.7778
   0.250   0.3978   0.00635   0.00197  -0.0828   0.7988   0.7893
   0.500   0.4251   0.00636   0.00197  -0.0825   0.7924   0.8014
   0.750   0.4521   0.00634   0.00198  -0.0822   0.7846   0.8140
   1.000   0.4791   0.00634   0.00200  -0.0819   0.7772   0.8273
   1.250   0.5057   0.00633   0.00201  -0.0814   0.7687   0.8418
   1.500   0.5319   0.00631   0.00204  -0.0809   0.7593   0.8575
   1.750   0.5577   0.00630   0.00205  -0.0803   0.7495   0.8753
   2.000   0.5827   0.00626   0.00205  -0.0794   0.7383   0.8965
   2.250   0.6070   0.00618   0.00204  -0.0783   0.7251   0.9266
   2.500   0.6422   0.00613   0.00200  -0.0798   0.7016   1.0000
   2.750   0.6684   0.00624   0.00199  -0.0794   0.6646   1.0000
   3.000   0.6921   0.00652   0.00201  -0.0785   0.5959   1.0000
   3.250   0.7127   0.00715   0.00218  -0.0772   0.5072   1.0000
   3.500   0.7362   0.00763   0.00242  -0.0765   0.4566   1.0000
   3.750   0.7610   0.00801   0.00264  -0.0760   0.4218   1.0000
   4.000   0.7862   0.00835   0.00287  -0.0757   0.3941   1.0000
   4.250   0.8113   0.00869   0.00310  -0.0753   0.3656   1.0000
   4.500   0.8364   0.00903   0.00332  -0.0749   0.3371   1.0000
   4.750   0.8615   0.00936   0.00356  -0.0745   0.3112   1.0000
   5.000   0.8863   0.00972   0.00381  -0.0741   0.2806   1.0000
   5.250   0.9107   0.01014   0.00407  -0.0736   0.2465   1.0000
   5.500   0.9341   0.01064   0.00438  -0.0730   0.2038   1.0000
   5.750   0.9560   0.01132   0.00481  -0.0723   0.1533   1.0000
   6.000   0.9780   0.01201   0.00529  -0.0715   0.1151   1.0000
